Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-03 07:00:00;86.4;2000.0;0.0;109.1024723;0.0;0.247251758;0.0;0.0
2022-01-03 08:00:00;86.4;2000.0;0.0;109.1024723;0.0;0.184527689;0.0;0.0
2022-01-03 09:00:00;86.4;2000.0;0.0;109.1024723;0.0;0.036702196;0.0;0.0
2022-01-03 10:00:00;86.4;2000.0;0.0;109.1024723;0.0;0.060895267;0.0;0.0
2022-01-03 11:00:00;86.4;2000.0;0.0;109.1024723;0.0;0.121845083;0.0;0.0
2022-01-03 12:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.162602326;0.0;0.0
2022-01-03 13:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.180378836;0.0;0.0
2022-01-03 14:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.183034577;0.0;0.0
2022-01-03 15:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.222029532;0.0;0.0
2022-01-03 16:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.264755695;0.0;0.0
2022-01-03 17:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.231956663;0.0;0.0
2022-01-03 18:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.236519839;0.0;0.0
2022-01-03 19:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.285716802;0.0;0.0
2022-01-03 20:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.299978383;0.0;0.0
2022-01-03 21:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.2727493;0.0;0.0
2022-01-03 22:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.25054034;0.0;0.0
2022-01-03 23:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.190410811;0.0;0.0
2022-01-04 00:00:00;86.4;2000.0;0.0;106.4358057;0.0;0.095318849;0.0;0.0
2022-01-04 01:00:00;86.4;2000.0;0.0;106.024078;0.0;0.031850897;0.0;0.0
2022-01-04 02:00:00;86.4;2000.0;0.0;88.880932;0.0;0.02412486;0.0;0.0
2022-01-04 03:00:00;86.4;2000.0;0.0;87.92067493;0.0;0.018267227;0.0;0.0
2022-01-04 04:00:00;86.4;2000.0;0.0;86.83476427;0.0;0.012214116;0.0;0.0
2022-01-04 05:00:00;86.4;2000.0;0.0;86.83476427;0.0;0.010342368;0.0;0.0
2022-01-04 06:00:00;86.4;2000.0;0.0;87.92067493;0.0;0.010637386;0.0;0.0
2022-01-04 07:00:00;86.4;2000.0;0.0;90.81245231;0.0;0.008096655;0.0;0.0
2022-01-04 08:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.039078442;0.0;0.0
2022-01-04 09:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.009641217;0.0;0.0
2022-01-04 10:00:00;86.4;2000.0;0.0;107.8721818;0.0;0.002705786;0.0;0.0
2022-01-04 11:00:00;86.4;2000.0;0.0;108.8395608;0.0;0.000556992;0.0;0.0
2022-01-04 12:00:00;86.4;2000.0;0.0;108.8395608;0.0;0.000554388;0.0;0.0
2022-01-04 13:00:00;86.4;2000.0;0.0;106.024078;0.0;0.000549539;0.0;0.0
2022-01-04 14:00:00;86.4;2000.0;0.0;107.8721818;0.0;0.002032233;0.0;0.0
2022-01-04 15:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.003472486;0.0;0.0
2022-01-04 16:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.006580455;0.0;0.0
2022-01-04 17:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.007613475;0.0;0.0
2022-01-04 18:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.007902538;0.0;0.0
2022-01-04 19:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.005580387;0.0;0.0
2022-01-04 20:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.007635939;0.0;0.0
2022-01-04 21:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.005692924;0.0;0.0
2022-01-04 22:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.006158839;0.0;0.0
2022-01-04 23:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.005589134;0.0;0.0
2022-01-05 00:00:00;86.4;2000.0;0.0;108.6614852;0.0;0.004747935;0.0;0.0
2022-01-05 01:00:00;86.4;2000.0;0.0;109.1010528;0.0;0.003324801;0.0;0.0
2022-01-05 02:00:00;86.4;2000.0;0.0;100.309696;0.0;0.000728023;0.0;0.0
2022-01-05 03:00:00;86.4;2000.0;0.0;100.309696;0.0;0.000662527;0.0;0.0
2022-01-05 04:00:00;86.4;2000.0;0.0;100.309696;0.0;0.000674177;0.0;0.0
2022-01-05 05:00:00;86.4;2000.0;0.0;100.309696;0.0;0.000629895;0.0;0.0
2022-01-05 06:00:00;86.4;2000.0;0.0;102.2412163;0.0;0.000630497;0.0;0.0
2022-01-05 07:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.003109199;0.0;0.0
2022-01-05 08:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.00420484;0.0;0.0
2022-01-05 09:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.003786013;0.0;0.0
2022-01-05 10:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.003345833;0.0;0.0
2022-01-05 11:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.003296935;0.0;0.0
2022-01-05 12:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.002830188;0.0;0.0
2022-01-05 13:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.003029046;0.0;0.0
2022-01-05 14:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.006810469;0.0;0.0
2022-01-05 15:00:00;86.4;2000.0;0.0;109.8069397;0.0;0.010745056;0.0;0.0
2022-01-05 16:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.011234312;0.0;0.0
2022-01-05 17:00:00;86.4;2000.0;0.0;110.4598607;0.0;0.009876805;0.0;0.0
